full_text,author,date_stayed,hotel_id,date_review,via_mobile,service,cleanliness,overall,value,location,sleep_quality,rooms,mean_rating,sentiment,hotel_class,name,locality,postal_code,street_address
"“A little too hip for its own good” The third time I have stayed here but probablly the last.
I can put up with the small room as the bed it very comfortable and I like this part of NY with its proximity to the restaurants/bistros in Columbus Circle and Central park. But .. lots of small things did not work in my room and with their facilities. 
I was shocked that at 2 pm in the afternoon this level of hotel one could not get tea or coffee. I had a business meeting and it seems once breakfast finishes at 11 am then it is only the bar that functions. 
Also there is a disco of sorts that pounds out music from about 6 pm to about 11 pm. There are 600 odd rooms and I get the impression most of those folk are not listening to the music in the outdoor area. My room on the 10 floor was very bothered by the booming base. I complained on three nights of the 5 I was there. Never did they suggest moving my room until 10 pm on my last night. They did wave the final nights bill on the basis of my complaint.
I told them they should decide either they are a disco or a hotel!! and why or why is it soooooo dark in the common areas!!",DeborahCambridge,2012-12-01,223023,2012-12-10,False,4.0,3.0,2.0,3.0,5.0,3.0,2.0,3.1,0,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“The""Hype"" NOT of Manhattan” Just got back from NYC. Stayed at the Hudson for 5 days... By far the worse hotel experience I ever had. We took one of the double double rooms because we wanted more space, knowingly that all the rooms are on the small size... 
I don't even know WHERE to start... My mother arrived in NYC 4 hours before we did and we had agreed on an early check-in for her, normal time check-in at the Hudson is 1500, she arrived at the hotel at 1030 an had to wait until 1400 to actually check-in... Me and my friend couldn't check-in until 1630... The room size was actually ok but after waiting that long we were greeted by a half finished setup... 
The breakfast was a joke and the reason being, apparently, it's because all the 3 restaurants are being refurbished. Oh and you can't get a coffee after 1700 in the hotel either... 
They are massively under staffed. 
I'd not recommend that hotel to anybody. Real shame... I had used on of the Morgan Hotels before but I don't think it'll be happening again.",Paolo P,2012-12-01,223023,2012-12-10,False,1.0,4.0,1.0,1.0,5.0,2.0,3.0,2.4,0,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Box rooms, rude services” Stayed at the Hudson on a recent trip to New York. The room are so tiny that you can not lie your suitcase down and have enough room to get to the bed. The airconditioner in the room makes a weird clunking noise and as a result cannot be turned on during the night as it keeps you from sleeping. 
The bed was comfortable and the room was clean. 
As for the service, we were sitting in the foyer late one evening to be informed that the foyer was closed and we needed to go to our rooms. As paying guests we questioned this and mentioned there was not enough space in the rooms for us to all go to one room and continue our conversation. The manager of the hotel was extremely rude and short with us and refused to allow us to keep sitting there. Would not stay here again.",EmJ255068,2012-11-01,223023,2012-12-09,False,1.0,5.0,1.0,1.0,4.0,3.0,1.0,2.3,0,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Great location - great stay” Yes the rooms are tiny - but very well appointed - very comfortable - and very quick to heat up (or cool in the summer) - you stay here for the location and cleanliness of the hotel - not to run sprints in your hotel room. Front desk, bellmen, concierge were all professional and courteous. Room had everything in working order - bathroom was very clean.
No complaints.",torontosabol,2012-11-01,223023,2012-12-09,False,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.4,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
“Decent hotel and cheaper alternative to Times Square hotels” The room is tiny and reminds me of the European hotels in that regard. It was clean for the most part although my toilet had tissue in it from someone else's stay so I'm not sure if the toilet was cleaned. The internet worked well. The location was ok - but not close to many trains.,traveldoc82,2012-12-01,223023,2012-12-09,False,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.7,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Good location” Best thing about this hotel is location as it is close to Columbus Circle Station. Our first night we were put in a king single room for two people it was very tiny indeed.
WiFi does not work at all in the rooms so you have to head to the lobby everytime you want to connect.Front desk staff were not always as helpful and friendly as concierge.",April S,2012-11-01,223023,2012-12-08,False,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.6,0,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Funky, cool, loud hotel” Great location and very cool-looking. The front desk staff were fun and accommodating. The room was tiny and really suitable only for one person or a romantic couple. I wouldn't go with a friend, though, since the bathroom looks out via a floor-to-ceiling window into the bedroom, covered by a gauzy curtain. The heater was clunky and loud all night, and I had to turn it off entirely in order to get some sleep. The value for the location was good overall, though.",Robicheaux,2012-12-01,223023,2012-12-08,False,4.0,4.0,3.0,3.0,5.0,2.0,4.0,3.6,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Worst hotel value ever encountered” Worst hotel value ever, least functional room I have ever encountered
in a First World country!
I travel a lot for my work, staying in some of the finest hotels and
resorts in the world, and in plenty of convention hotels, airport
traveler hotels, even road stops by the Interstate. I know hotels. 
Yes, this hotel has a beautiful lobby, and is incredibly ""designerly""
-- but the designs are not clever, and do not make it comfortable or
useful. It is so designer-friendly and minimalist that it has no sign
on the front, for instance.
I stayed at the Hudson at a supposedly discount rate which set me back
(room and taxes) $370 per night. For this I got a 144-sq ft room with
a view of an air shaft. It would take three of these to equal the floor
space of a normal room. 
The bathroom was so small I could not use the toilet sitting down (and
I am 6'2"", not Magic Johnson).
There were no available electrical plugs in the bedroom area, only a
power strip in the center under the bed, all of its plugs in use. There
was no coffee maker to make a little tea in the middle of the night.
The smoke alarm was non-functional. The TV was mounted sideways to the
bed, so that there was no place to sit comfortably and watch the TV.
There was no place to sit at all except the bed and a minimalist steel
straight-back desk chair with a minimally-padded seat. The shower has
only one little shelf for the shampoo and soap - and it slants outward,
and has no lip, so everything slides right off.
Did I mention that someone barged into my room while I was talking on the phone? Evidently not staff, but another guest with the wrong room number. She said, ""Didn't they fix that yet?"" and walked back out. Huh? So this wasn't the first time this particular woman had walked into someone else's room? Was the staff giving out master keys to all the guests? After that I took all valuables with me when I left the room, and while in it deadbolted and chained the door. When was the last time I actually felt unsafe in my own hotel room?
At every turn, ergonomic, human-centered design is sacrificed for,
apparently, minimalist designer-centered design and just being plain
cheap. I will not stay again at the Hudson, or at any of the other
Monarch Group hotels.",Joe F,2012-12-01,223023,2012-12-07,False,1.0,5.0,1.0,1.0,5.0,1.0,1.0,2.1,0,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Good Hotel in A Great Location” The rooms are very small and ours was oddly configured with a picture window looking out from the shower into the bed area. The heating/cooling in the room was inconsistent, with it being either too hot or too cold and there is no thermostat in the room. The ambiance is pretty cool and the hotel employees were quite friendly. The location is very good, with transportation to the rest of the city readily available. It was an interesting experience, but I do not intend to go back.",Flipperroni,2012-06-01,223023,2012-12-06,False,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.1,0,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Like sonny beach Bulgaria just worse” Traveling almost 200 days a year this has to my worst experience in 2012. The hotel is beautiful located in NYC, but if you like any kind of peace your are def. in the wrong spot . It's pretty much like staying in a night club. In the morning loads of people complaining about the noise at the front desk, the same night the bass is going through the walls again. I don't mind the rooms being small but the rudeness of the staff ( guess they are tired of listing to guests complaining) and the noise is so over the top , that it deserves maximum 1 star.",Peter H,2012-11-01,223023,2012-12-06,False,1.0,5.0,1.0,1.0,5.0,1.0,3.0,2.4,0,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“One Weird Terrible Hotel” Obviously lots of money was spent on design attempting to create a very artistic motif in public areas and an industrial feel in the rooms. While the hoteliers were successful in achieving design objectives, they completely failed in making the place comfortable. There was insufficient light, rooms were absurdly tiny, hot water ran lukewarm, there was no restaurant nor room service, and it was sleep depriving noisy. Business services were minimal. Package receipt/message delivery were slow. Stay elsewhere.",David K,2012-12-01,223023,2012-12-06,True,3.0,4.0,1.0,1.0,3.0,4.0,1.0,2.4,0,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Cool Spot” Small rooms, yes, but the point of NYC is to get out. Very trendy. Would recomend for couples or singles. Not ideal for families. Very Euro vibe.Not crazy expensive compared with other trendy hotels like the varios Thompsons. Bar/club is great for a drink even late as you're coming back",Michael D,2012-01-01,223023,2012-12-05,False,4.0,5.0,5.0,5.0,5.0,3.0,2.0,4.1,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Trendy and Romantic” The super cool yellow escalator transports you into the hub of coolness that is the Hudson Hotel. 
The reception is lowly lit and plays indie music. Everything feels modern and trendy but done with class and sophistication. 
It's in nice easy walking distance from Central Park and Broadway. 
Super cocktails
All very nice and wonderful.",MattyBay,2012-04-01,223023,2012-12-05,False,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.3,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“The Best kept secret in NYC” This hotel is funky, modern and a hidden gem. Great location (300ft from Columbus Circle )
accessable to all areas of NYC, walking distance to Central Park, 5th Ave, Madison Ave, Hell's Kitchen and Broadway. It was designed by Ian Schrager (designed Studio 54) When you pull up, it has no name and no address on the outside of the building. When we asked the bellboy about it, he said, it's a secret, if you know, then you know. The flame outside let's people know the bar is open, when it goes out, the bar is closed. Very cool Lodge Bar inside. Rooms are VERY SMAll, as well as Bathroom, but its NY... Will definately go back. great Euro bakery on the corner European Pan open 24 hrs.",Kasandra T,2012-12-01,223023,2012-12-04,False,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.7,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Hotel Room Robbed - Management Will Not Cover Loss” The Hudson Hotel is not safe. During my stay, my room was robbed while I was out for dinner. When I reported the crime to the hotel, the Hudson Hotel refused to compensate me for my stolen MacBook and other (fairly large electronic items) because “those items should have been placed in the hotel room safe.”
Beyond the outright burglary (for which I was never given even $1), there is not a security key scan required in the elevator so anyone from the club in the hotel, the street, or anywhere else has easy access to guest floors.
When I reported the burglary to the NYPD, they were not surprised, saying that they had “regularly” responded to such reports at the Hudson Hotel. 
What’s worse, is that when I asked for a new room following the robbery, I was mistakenly given the key to another guest’s room (not a new room), so when I walked into room, the other guest’s belongings were already in there (ripe for the taking). 
When I explained to the concierge that my room was vandalized and the hotel responded by immediately giving me a key to an occupied room, their response was a big shoulder shrug. 
In short, the hotel is unsafe. The staff adds to the lack of security. I’m not even commenting on the claustrophobic nature of the rooms or the constant smell of pot in the hallways. The Hudson Hotel has an abundance of theft claims and their apparent policy is that it’s not a bid deal if random people go into a guest’s room. 
Seriously, I never write travel reviews but I feel strongly that the hotel is incredibly unsafe, and due to the hotel’s policies and structure, this kind of theft will certainly happen again. Don’t make the same mistake I made and have your vacation ruined by spending hours filling out NYPD police reports, talking to managers that don’t care, and reporting claims to an insurance provider who will only deny claims to any stolen item not locked in the safe box.
There are a million hotels in New York City; choose a different one.",Maura M,2012-10-01,223023,2012-12-04,False,4.0,4.0,1.0,4.0,4.0,4.0,4.0,3.6,0,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“I love the atmosphere” I love the modern and young atmosphere of the hotel. I already stayed there four or five times and always return. The rooms are very small but the most interesting thing of this hotel are the restaurants and the bar. For this reason I was really surprised on my last stay there because the restaurant was closed for reform and besides the breakfast that was really bad, the hotel had no room service.",Maria A,2012-09-01,223023,2012-12-02,False,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.9,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Tiny treasure” While the rooms are small, I love the atmosphere of the hotel. I have been back two times and I will be back again during jan. My best advice is to ask for a hotel room not viewing the street because it can get very loud. I also ask for a high floor and they have always been able to accommodate me. The customer service there has always been great and I love the library bar during the night time.",casies091684,2012-08-01,223023,2012-12-01,False,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.4,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Beautiful Hotel not so great location” I stayed over a business trip in this hotel and it was amazong, Philip Stark designed hotels are always great.
Breakfast was nice but 30 dollars? Too much.
The location is not so great, there are no cool restaurants near that.",latinaeuropa,2011-12-01,223023,2012-11-30,False,4.0,4.0,4.0,3.0,2.0,5.0,4.0,3.7,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Funky hotel in a prime location!” This was my first trip to New York and I was a little worried after seeing some mixed reviews on here for The Hudson, mainly about how small the rooms were. As soon as we walked into the Lobby I fell in love with the hotel, the decor is great and we found the staff on the front desk to be very helpful. I loved the glass window behind the desk where you could see through to the garden bar with the big comfy chairs and blankets.
We stayed in a standard room with a queen sized bed. The room was on the small side, but for a couple intending on spending all day and every day of our trip taking in the sights of the city, it was perfectly suitable for someone to rest our heads and have a shower! We had plenty of room for our (large!) suitcase in the small corridor between the door and the bedroom and the bed was a welcome, comfy retreat after a long day on your feet. The bathroom was small, but why do you need it to be big as long as it is functional? The shower was very powerful and the complimentary Aveda shampoo/shower gel was a nice treat. The room was cleaned to a lovely standard every day and the corridors outside our room were always clean and smelt nice. 
As mentioned earlier, the staff in the hotel were very helpful. We asked to borrow a plug adaptor and this was brought up to our room within about 15 mins of the request. On our first night we found the room to be very hot and couldn't work the air con, also I think we were right next to the central heating pipes as we heard these banging in the middle of the night. We reported both of these things to reception the next morning and we were told a member of the maintenance team would check the room while we were out for the day. If we still had the same problem that night, they would move us to another room, which was great. We didn't experience the problem again so there was no need to move rooms but it was good to be given the option. 
I loved both the library bar and the garden bar and probably would have spent more time in these had it not been for the price - $28 for 2 glasses of wine seemed a little steep and £15 for a beer and a sprite not much better! But it was worth it on the odd occasion as the surroundings were so lovely. 
Our flight back to the UK wasn't until 10.30pm so we asked to extend our check out until 4pm in order for us to make the most of our last day then come back to pack later on in the afternoon. This was no problem and we were charged $50 which I thought was perfectly reasonable. From 4pm we were able to store our luggage in the basement while we went out for dinner, when we got back to the hotel the doorman went down to collect our luggage for us and put it into a taxi, which was very helpful.
The Hudson is in a prime location, just a 10/15 minute walk to Times Square and a 5 minute walk to central park. It was very close to a subway so we made use of this every single day. I would highly recommend this hotel and am looking forward to coming back as soon as I can!",Rhiannon85,2012-11-01,223023,2012-11-30,False,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.4,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Always a pleasure to come back” No doubt that this hotel has the smallest rooms in NYC and while that'll work for one person, I wouldn't put these rooms on a try with two people with luggage. However, the hotel is magnificent, the entire design of the public spaces and the humor that has gone into designing this place always make me happy. You come in from the street and there is not a single hint that this is a hotel. The bellboys are young and hip and wear jeans, the fabulous lobby and the library style lounge are pleasurable locations for a meeting or a drink. Everything has been designed with style and while the rooms are small they are very functional. This is not your regular business hotel so no coffee maker in the room, a small price to pays for an otherwise pleasurable stay.",Dan G,2012-11-01,223023,2012-11-29,False,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.4,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Chic, trendy and modern” I stayed here on business in July and was really impressed with the grandeur of this hotel. So modern, trendy and ever so chic. The limo escalators are sublime and lead you into the grand ivy sprawled, crystal studded chandelier..it's awesome!!!
The rooms are small though...if you have claustrophobia beware. He my husband been with me I think we would of upgraded to a bigger room. I wish they had long length mirrors on the back of the door-standing on the bed or peering into the bathroom is it my cup of tea! I love the brand of shampoos and conditioners..what a treat?
The restaurant is very different with a sushi style conveyor system (I think it is in the process of being upgraded) the roof top bar is ever so cool too...note you need to dress up for the bar.
Note: don't know how to deselect pool and spa? Didn't see these so cant review?",Budgetbashers,2012-07-01,223023,2012-11-29,False,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.1,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Faboulous” Elegance, smooth ambience, professional and warm hospitality. Central and so well connected to the main sites. The rooms are cozy and warm , everything excellent. Two steps away from Columbus Center and Fifth Avenue. The Hall is fantastic and unique.",ValerynB,2011-12-01,223023,2012-11-29,False,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.7,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
